"Action.taken.OIPM";"Action.taken.year";"Allegation.short";"Allegation.simple";"Allegation.primary.key"
"241";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"242";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"243";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"244";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"245";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"246";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"247";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"248";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"249";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"250";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"251";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"252";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"253";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"254";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"255";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"256";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"257";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"258";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"259";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"260";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"261";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"262";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"263";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"264";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"265";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"266";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"267";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"268";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"269";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
